Id,Company,Symbol
196,Eastman Chemical,EMN
197,Eastman Kodak Co.,EK
198,Eaton Corp,ETN
199,Ebay Inc.,EBAY
200,Echelon Corp.,ELON
201,Echostar Communications ,DISH
202,Ecolab Inc,ECL
203,Edison Intl,EIX
204,Electronic Arts Inc.,ERTS
205,Electronic Data Systems,EDS
206,EMC Corporation,EMC
207,Emerson Electric,EMR
208,Engelhard Corp,EC
209,Entergy Corp,ETR
210,Enzo Biochem Inc.,ENZ
211,Equifax Inc,EFX
212,Ericsson Telephone Company ,ERICY
213,E-Trade Group Inc.,ET
214,Exxon Mobil Corporation,XOM
215,Federal Home Loan,FRE
216,Federal Natl Mtge,FNM
217,Federated Dept Stores,FD
218,FedEx Corp,FDX
219,Fifth Third Bancorp,FITB
220,First Data,FDC
221,FirstEnergy Corp,FE
222,Flextronics Intl. Ltd.,FLEX
223,Fluor Corp,FLR
224,FMC Corp,FMC
225,Ford Motor Co.,F
226,Fortune Brands,FO
227,Fossil Inc.,FOSL
228,Foundry Networks SE,FDRY
229,Fox Entertainment Group,FOX
230,FPL Group Inc.,FPL
231,Franklin Resources,BEN
232,Freep't McMoRan Copper ,FCX
233,FuelCell Energy Inc.,FCEL
234,Gannett Co,GCI
235,Gap Inc.,GPS
236,Gateway Inc,GTW
237,Genentech,DNA
238,General Motors Corp ,GM
239,Genl Dynamics,GD
240,Genl Electric,GE
241,Genl Mills,GIS
242,Genome Therapeutics Corp ,OSCI
243,Genuine Parts ,GPC
244,Georgia-Pacific (Ga-Pac Grp),GP
245,Golden West Finl,GDW
246,Goodrich (B.F.) ,GR
247,Gillette Co.,G
248,Goodyear Tire & Rubber Co. ,GT
249,Grace (W.R.) & Co,GRA
250,Grainger (W.W.) ,GWW
251,"Google, Inc.",GOOG
252,Great Atlantic & Pacific Tea  ,GAP
253,"Guess ?, Inc.",GES
254,Guidant Corp ,GDT
255,Great Lakes Chemical,GLK
256,Halliburton Co,HAL
257,Harley-Davidson,HDI
258,Harrah's Entertainment ,HET
259,Hartford Finl Svcs Gp,HIG
260,Hasbro Inc.,HAS
261,HCA-The Healthcare Co. ,HCA
262,Healtheon Corp,HLTH
263,Heinz H.J. Co.,HNZ
264,Helix Technology Inc.,HELX
265,Helmerich & Payne Inc. ,HP
266,"Hercules, Inc",HPC
267,Hershey Foods Corp,HSY
268,Hilton Hotels Corp,HLT
269,Home Depot Inc.,HD
270,Honda Motor Co. Ltd.,HMC
271,Honeywell Intl,HON
272,Hot Topic Inc.,HOTT
273,Human Genome Sciences,HGSI
274,Humana Inc,HUM
275,Huntington Bancshares ,HBAN
276,Illinois Tool Works,ITW
277,IMS Health,RX
278,Inco Ltd,N
279,Incyte Pharmaceuticals Inc. ,INCY
280,Infospace.com,INSP
281,Infosys Tech Ltd.,INFY
282,Ingersoll-Rand,IR
283,Intel Corp,INTC
284,Internet Cap Group Inc. ,ICGE
285,Interpublic Grp Cos,IPG
286,Intersil Holding Corp,ISIL
287,Inter-Tel Inc.,INTL
288,Intl Bus. Machines,IBM
289,Intl Flavors/Fragr,IFF
290,Intl Paper,IP
291,Intuit Inc. ,INTU
